1.00,0.77,0.71,0.71,0.76,0.71,0.62,0.53,0.49,0.64,0.51,0.60,0.63,0.68
0.77,1.00,0.76,0.72,0.84,0.90,0.60,0.47,0.43,0.59,0.52,0.61,0.64,0.69
0.71,0.76,1.00,0.97,0.71,0.80,0.54,0.45,0.39,0.53,0.47,0.59,0.62,0.93
0.71,0.72,0.97,1.00,0.68,0.77,0.54,0.45,0.39,0.53,0.47,0.59,0.62,0.97
0.76,0.84,0.71,0.68,1.00,0.78,0.59,0.53,0.49,0.58,0.44,0.60,0.53,0.64
0.71,0.90,0.80,0.77,0.78,1.00,0.58,0.48,0.42,0.57,0.50,0.59,0.66,0.73
0.62,0.60,0.54,0.54,0.59,0.58,1.00,0.72,0.56,0.81,0.64,0.70,0.50,0.51
0.53,0.47,0.45,0.45,0.53,0.48,0.72,1.00,0.69,0.74,0.61,0.64,0.41,0.42
0.49,0.43,0.39,0.39,0.49,0.42,0.56,0.69,1.00,0.61,0.65,0.54,0.48,0.39
0.64,0.59,0.53,0.53,0.58,0.57,0.81,0.74,0.61,1.00,0.77,0.79,0.49,0.53
0.51,0.52,0.47,0.47,0.44,0.50,0.64,0.61,0.65,0.77,1.00,0.75,0.59,0.50
0.60,0.61,0.59,0.59,0.60,0.59,0.70,0.64,0.54,0.79,0.75,1.00,0.52,0.56
0.63,0.64,0.62,0.62,0.53,0.66,0.50,0.41,0.48,0.49,0.59,0.52,1.00,0.59
0.68,0.69,0.93,0.97,0.64,0.73,0.51,0.42,0.39,0.53,0.50,0.56,0.59,1.00
