1.00,0.36,0.44,0.31,0.44,0.31,0.29,0.24,0.24,0.22,0.33,0.32,0.30,0.28
0.36,1.00,0.60,0.58,0.55,0.54,0.28,0.34,0.21,0.23,0.35,0.42,0.28,0.30
0.44,0.60,1.00,0.46,0.44,0.42,0.22,0.24,0.16,0.26,0.29,0.39,0.19,0.20
0.31,0.58,0.46,1.00,0.60,0.60,0.23,0.29,0.20,0.22,0.34,0.44,0.27,0.29
0.44,0.55,0.44,0.60,1.00,0.72,0.29,0.27,0.27,0.21,0.39,0.38,0.33,0.35
0.31,0.54,0.42,0.60,0.72,1.00,0.23,0.29,0.20,0.22,0.34,0.37,0.27,0.29
0.29,0.28,0.22,0.23,0.29,0.23,1.00,0.66,0.42,0.30,0.43,0.45,0.51,0.35
0.24,0.34,0.24,0.29,0.27,0.29,0.66,1.00,0.33,0.27,0.42,0.37,0.39,0.30
0.24,0.21,0.16,0.20,0.27,0.20,0.42,0.33,1.00,0.59,0.54,0.34,0.51,0.34
0.22,0.23,0.26,0.22,0.21,0.22,0.30,0.27,0.59,1.00,0.42,0.24,0.39,0.33
0.33,0.35,0.29,0.34,0.39,0.34,0.43,0.42,0.54,0.42,1.00,0.45,0.58,0.43
0.32,0.42,0.39,0.44,0.38,0.37,0.45,0.37,0.34,0.24,0.45,1.00,0.46,0.34
0.30,0.28,0.19,0.27,0.33,0.27,0.51,0.39,0.51,0.39,0.58,0.46,1.00,0.64
0.28,0.30,0.20,0.29,0.35,0.29,0.35,0.30,0.34,0.33,0.43,0.34,0.64,1.00
